Algorithm,Dimensions,Walk length,Walk number,Accuracy,F1-score,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
DeepWalk,2,40,5,0.6941,0.73,0.132,0.1982,0.1909,0.2066,0.0844,0.5112,0.65
DeepWalk,2,40,10,0.7588,0.7938,0.2132,0.3296,0.3083,0.3597,0.2095,0.4984,0.8295
DeepWalk,2,40,15,0.9,0.9196,0.4567,0.675,0.6606,0.6933,0.3003,0.5629,0.8654
DeepWalk,2,40,20,0.8824,0.8998,0.425,0.6255,0.6147,0.6382,0.3024,0.5651,0.8615
DeepWalk,2,40,25,0.9618,0.9657,0.5626,0.8184,0.8137,0.8232,0.3512,0.6059,0.8654
DeepWalk,2,40,30,0.9676,0.9707,0.5764,0.8375,0.8337,0.8413,0.3564,0.6087,0.8679
DeepWalk,2,40,35,0.9412,0.9436,0.5478,0.7952,0.7923,0.7982,0.3469,0.6068,0.8564
DeepWalk,2,40,40,0.9147,0.9329,0.5125,0.7474,0.7412,0.7557,0.3219,0.5777,0.8692
DeepWalk,2,20,10,0.6176,0.6244,0.0495,0.0722,0.0716,0.0728,0.0185,0.5102,0.5346
DeepWalk,2,40,10,0.7588,0.7938,0.2132,0.3296,0.3083,0.3597,0.2095,0.4984,0.8295
DeepWalk,2,60,10,0.9441,0.9533,0.5384,0.7855,0.7788,0.7937,0.3394,0.592,0.8641
DeepWalk,2,80,10,0.9588,0.963,0.5511,0.8021,0.7971,0.8072,0.3492,0.605,0.8641
DeepWalk,2,100,10,0.9676,0.9712,0.5871,0.8532,0.8491,0.8575,0.3533,0.6066,0.8654
DeepWalk,2,120,10,0.9735,0.9761,0.5995,0.8702,0.867,0.8734,0.3582,0.6098,0.8679
DeepWalk,2,140,10,0.9765,0.9785,0.6032,0.875,0.8724,0.8776,0.3615,0.6118,0.8705
DeepWalk,2,40,10,0.7588,0.7938,0.2132,0.3296,0.3083,0.3597,0.2095,0.4984,0.8295
DeepWalk,4,40,10,0.8735,0.8974,0.389,0.5807,0.5626,0.6027,0.2761,0.5474,0.8436
DeepWalk,8,40,10,0.9235,0.9373,0.4891,0.7175,0.7075,0.7306,0.3126,0.5761,0.8577
DeepWalk,16,40,10,0.85,0.8819,0.3588,0.54,0.5189,0.5683,0.2612,0.526,0.8526
DeepWalk,32,40,10,0.8529,0.8848,0.3678,0.5513,0.5319,0.5783,0.2623,0.5301,0.8641
